期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
S920999,凱基證券自營,0,0,3582.000000000000000,15.00000000000000000,0,0,1.000000000000000000,3598.000000000000000,0,0,10147.00000000000000,20.00000000000000000,0,0,0,10167.00000000000000,0,0,13729.00000000000000,35.00000000000000000,0,0,1.000000000000000000,13765.00000000000000,0.830000000000000000
F002999,永豐期貨自營,0,65.00000000000000000,3117.000000000000000,0,0,0,0,3182.000000000000000,0,110.0000000000000000,10067.00000000000000,0,0,0,0,10177.00000000000000,0,175.0000000000000000,13184.00000000000000,0,0,0,0,13359.00000000000000,0.800000000000000000
F013000,大華期貨,0,2.000000000000000000,3839.000000000000000,1.000000000000000000,0,0,0,3842.000000000000000,0,22.00000000000000000,7040.000000000000000,0,0,0,0,7062.000000000000000,0,24.00000000000000000,10879.00000000000000,1.000000000000000000,0,0,0,10904.00000000000000,0.650000000000000000
F014000,華南期貨,0,8.000000000000000000,3472.000000000000000,0,0,0,0,3480.000000000000000,1.000000000000000000,1.000000000000000000,7029.000000000000000,0,0,0,0,7031.000000000000000,1.000000000000000000,9.000000000000000000,10501.00000000000000,0,0,0,0,10511.00000000000000,0.630000000000000000
F004999,凱基期貨自營,0,0,3582.000000000000000,0,0,0,0,3582.000000000000000,0,0,6804.000000000000000,0,0,0,0,6804.000000000000000,0,0,10386.00000000000000,0,0,0,0,10386.00000000000000,0.620000000000000000
S518000,太平洋證券,0,0,4449.000000000000000,0,0,0,0,4449.000000000000000,0,7.000000000000000000,5824.000000000000000,0,0,0,0,5831.000000000000000,0,7.000000000000000000,10273.00000000000000,0,0,0,0,10280.00000000000000,0.620000000000000000
F001000,國泰期貨,0,0,4885.000000000000000,0,0,0,0,4885.000000000000000,0,0,5047.000000000000000,0,0,0,1.000000000000000000,5048.000000000000000,0,0,9932.00000000000000,0,0,0,1.000000000000000000,9933.00000000000000,0.600000000000000000
S856000,新光證券,12.00000000000000000,10.00000000000000000,1794.000000000000000,0,0,0,0,1816.000000000000000,12.00000000000000000,15.00000000000000000,7792.000000000000000,0,0,0,0,7819.000000000000000,24.00000000000000000,25.00000000000000000,9586.00000000000000,0,0,0,0,9635.00000000000000,0.580000000000000000
S538000,第一金證券,0,3.000000000000000000,1483.000000000000000,0,0,0,1.000000000000000000,1487.000000000000000,10.00000000000000000,1.000000000000000000,5111.000000000000000,0,0,0,2.000000000000000000,5124.000000000000000,10.00000000000000000,4.000000000000000000,6594.000000000000000,0,0,0,3.000000000000000000,6611.000000000000000,0.400000000000000000
S153000,港商德意志台北分公司,0,0,0,0,0,0,0,0,0,0,5455.000000000000000,0,0,0,0,5455.000000000000000,0,0,5455.000000000000000,0,0,0,0,5455.000000000000000,0.330000000000000000
S845999,康和證券自營,0,0,1093.000000000000000,0,0,0,0,1093.000000000000000,0,0,4221.000000000000000,0,0,0,0,4221.000000000000000,0,0,5314.000000000000000,0,0,0,0,5314.000000000000000,0.320000000000000000
F005999,國票期貨自營,0,0,2070.000000000000000,0,0,0,0,2070.000000000000000,0,0,3230.000000000000000,0,0,0,0,3230.000000000000000,0,0,5300.000000000000000,0,0,0,0,5300.000000000000000,0.320000000000000000
S884000,玉山證券,0,0,1303.000000000000000,0,0,0,0,1303.000000000000000,0,0,3975.000000000000000,0,0,0,0,3975.000000000000000,0,0,5278.000000000000000,0,0,0,0,5278.000000000000000,0.320000000000000000
S126999,宏遠證券自營,0,0,695.0000000000000000,0,0,0,0,695.0000000000000000,0,0,4079.000000000000000,0,0,0,0,4079.000000000000000,0,0,4774.000000000000000,0,0,0,0,4774.000000000000000,0.290000000000000000
S653000,大眾證券,0,2.000000000000000000,1669.000000000000000,0,0,0,0,1671.000000000000000,1.000000000000000000,5.000000000000000000,2628.000000000000000,0,0,0,0,2634.000000000000000,1.000000000000000000,7.000000000000000000,4297.000000000000000,0,0,0,0,4305.000000000000000,0.260000000000000000
F038999,大眾期貨自營,0,0,1406.000000000000000,0,0,0,0,1406.000000000000000,0,0,2849.000000000000000,0,0,0,0,2849.000000000000000,0,0,4255.000000000000000,0,0,0,0,4255.000000000000000,0.260000000000000000
F007999,日盛期貨自營,0,0,1565.000000000000000,0,0,0,0,1565.000000000000000,0,0,2452.000000000000000,0,0,0,0,2452.000000000000000,0,0,4017.000000000000000,0,0,0,0,4017.000000000000000,0.240000000000000000
F018999,元富期貨自營,0,0,378.0000000000000000,0,0,0,0,378.0000000000000000,0,0,3099.000000000000000,0,0,0,0,3099.000000000000000,0,0,3477.000000000000000,0,0,0,0,3477.000000000000000,0.210000000000000000
S526000,大慶證券,0,0,739.0000000000000000,0,0,0,0,739.0000000000000000,0,0,1947.000000000000000,0,0,0,0,1947.000000000000000,0,0,2686.000000000000000,0,0,0,0,2686.000000000000000,0.160000000000000000
S144000,美林證券,0,0,500.0000000000000000,0,0,0,0,500.0000000000000000,0,0,1830.000000000000000,0,0,0,0,1830.000000000000000,0,0,2330.000000000000000,0,0,0,0,2330.000000000000000,0.140000000000000016
F020999,群益期貨自營,0,0,558.0000000000000000,0,0,0,0,558.0000000000000000,0,0,1390.000000000000000,0,0,0,0,1390.000000000000000,0,0,1948.000000000000000,0,0,0,0,1948.000000000000000,0.120000000000000000
S218000,亞東證券,0,0,664.0000000000000000,0,0,0,0,664.0000000000000000,0,0,882.0000000000000000,0,0,0,0,882.0000000000000000,0,0,1546.000000000000000,0,0,0,0,1546.000000000000000,0.090000000000000000
S109000,台灣工銀證券,0,0,204.0000000000000000,0,0,0,0,204.0000000000000000,0,0,1289.000000000000000,0,0,0,0,1289.000000000000000,0,0,1493.000000000000000,0,0,0,0,1493.000000000000000,0.090000000000000000
S538999,第一金證券自營,0,0,427.0000000000000000,0,0,0,0,427.0000000000000000,0,0,867.0000000000000000,0,0,0,0,867.0000000000000000,0,0,1294.000000000000000,0,0,0,0,1294.000000000000000,0.080000000000000000
S616000,中國信託證券,0,5.000000000000000000,357.0000000000000000,0,0,0,0,362.0000000000000000,0,23.00000000000000000,883.0000000000000000,12.00000000000000000,0,0,0,918.0000000000000000,0,28.00000000000000000,1240.000000000000000,12.00000000000000000,0,0,0,1280.000000000000000,0.080000000000000000
S218999,亞東證券自營,0,0,350.0000000000000000,0,0,0,0,350.0000000000000000,0,0,925.000000000000000,0,0,0,0,925.000000000000000,0,0,1275.000000000000000,0,0,0,0,1275.000000000000000,0.080000000000000000
S844000,摩根大通證券,0,0,0,0,0,0,0,0,0,0,1164.000000000000000,0,0,0,0,1164.000000000000000,0,0,1164.000000000000000,0,0,0,0,1164.000000000000000,0.070000000000000008
S888999,國泰證券自營,0,0,90.00000000000000000,0,0,0,0,90.00000000000000000,0,0,942.000000000000000,0,0,0,0,942.000000000000000,0,0,1032.000000000000000,0,0,0,0,1032.000000000000000,0.060000000000000000
S159000,花旗環球國際證券,0,0,600.0000000000000000,0,0,0,0,600.0000000000000000,0,0,0,0,0,0,0,0,0,0,600.0000000000000000,0,0,0,0,600.0000000000000000,0.040000000000000000
S653999,大眾證券自營,0,0,175.0000000000000000,0,0,0,0,175.0000000000000000,0,0,408.0000000000000000,0,0,0,0,408.0000000000000000,0,0,583.0000000000000000,0,0,0,0,583.0000000000000000,0.030000000000000000
S505000,大展證券,0,0,175.0000000000000000,0,0,0,0,175.0000000000000000,0,0,347.0000000000000000,1.000000000000000000,0,0,0,348.0000000000000000,0,0,522.0000000000000000,1.000000000000000000,0,0,0,523.0000000000000000,0.030000000000000000
S779999,國票綜合證券自營,0,0,50.00000000000000000,0,0,0,0,50.00000000000000000,0,0,350.0000000000000000,0,0,0,0,350.0000000000000000,0,0,400.0000000000000000,0,0,0,0,400.0000000000000000,0.020000000000000000
S505999,大展證券自營,0,0,88.00000000000000000,0,0,0,0,88.00000000000000000,0,0,255.0000000000000000,0,0,0,0,255.0000000000000000,0,0,343.0000000000000000,0,0,0,0,343.0000000000000000,0.020000000000000000
S109999,台灣工銀證券自營,0,0,122.0000000000000000,0,0,0,0,122.0000000000000000,0,0,198.0000000000000000,0,0,0,0,198.0000000000000000,0,0,320.0000000000000000,0,0,0,0,320.0000000000000000,0.020000000000000000
S509999,華南永昌證券自營,0,0,85.00000000000000000,0,0,0,0,85.00000000000000000,0,0,54.00000000000000000,0,0,0,0,54.00000000000000000,0,0,139.0000000000000000,0,0,0,0,139.0000000000000000,0.010000000000000000
S703000,致和證券,0,0,66.00000000000000000,0,0,0,0,66.00000000000000000,0,0,41.00000000000000000,0,0,0,1.000000000000000000,42.00000000000000000,0,0,107.0000000000000000,0,0,0,1.000000000000000000,108.0000000000000000,0.010000000000000000
S645000,永全證券,0,0,38.00000000000000000,0,0,0,0,38.00000000000000000,0,0,64.00000000000000000,0,0,0,0,64.00000000000000000,0,0,102.0000000000000000,0,0,0,0,102.0000000000000000,0.010000000000000000
S838000,安泰證券,0,0,6.000000000000000000,0,0,0,0,6.000000000000000000,0,0,72.00000000000000000,0,0,0,0,72.00000000000000000,0,0,78.00000000000000000,0,0,0,0,78.00000000000000000,0
F013999,大華期貨股份有限公司,0,0,6.000000000000000000,0,0,0,0,6.000000000000000000,0,0,36.00000000000000000,0,0,0,0,36.00000000000000000,0,0,42.00000000000000000,0,0,0,0,42.00000000000000000,0
S601000,奔亞證券,0,0,2.000000000000000000,0,0,0,0,2.000000000000000000,0,0,16.00000000000000000,0,0,0,0,16.00000000000000000,0,0,18.00000000000000000,0,0,0,0,18.00000000000000000,0
S152000,瑞信銀台北證券分公司,0,0,10.00000000000000000,0,0,0,0,10.00000000000000000,0,0,0,0,0,0,0,0,0,0,10.00000000000000000,0,0,0,0,10.00000000000000000,0
S700999,兆豐證券自營,0,0,0,0,0,0,0,0,0,0,10.00000000000000000,0,0,0,0,10.00000000000000000,0,0,10.00000000000000000,0,0,0,0,10.00000000000000000,0
F008999,統一期貨自營,0,0,0,0,0,0,0,0,0,0,4.000000000000000000,0,0,0,0,4.000000000000000000,0,0,4.000000000000000000,0,0,0,0,4.000000000000000000,0
