期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F004999,凱基期貨自營,0,0,3621,0,0,0,0,3621,0,0,3958,0,0,0,0,3958,0,0,2258,0,0,0,0,2258,0,0,2412,0,0,0,0,2412,0,0,5030,0,0,0,0,5030,0,0,2580,0,0,0,0,2580,0,0,10244,0,0,0,0,10244,0,0,994,0,0,0,0,994,0,0,5512,0,0,0,0,5512,0,0,134,0,0,0,0,134,0,0,1658,0,0,0,0,1658,0,0,1790,0,0,0,0,1790,0,0,1182,0,0,0,0,1182,0,0,41373,0,0,0,0,41373,0.37
F021999,元大寶來期貨自營,0,1,697,0,0,0,10,708,0,231,1041,0,0,0,0,1272,0,47,600,0,0,0,6,653,0,83,6395,0,0,0,0,6478,38,54,6910,0,0,0,0,7002,0,8,512,0,0,0,0,520,0,24,10509,0,0,0,0,10533,0,100,244,0,0,0,36,380,0,56,523,0,0,0,4,583,0,1,120,0,0,0,0,121,0,0,185,0,0,0,0,185,0,5,546,0,0,0,0,551,0,0,8027,0,0,0,40,8067,38,610,36309,0,0,0,96,37053,0.33
S653000,大眾證券,0,0,2173,1,0,0,0,2174,0,6,5296,0,0,0,0,5302,0,4,2886,0,4,0,0,2894,0,2,4923,0,0,0,0,4925,0,3,2782,0,0,0,0,2785,0,0,1775,0,0,0,0,1775,0,9,2618,1,1,0,0,2629,1,1,1349,0,0,0,0,1351,0,2,1890,0,0,0,0,1892,0,4,1034,12,0,0,0,1050,0,1,1626,0,0,0,0,1627,1,1,2449,3,1,0,0,2455,0,0,1363,2,0,0,0,1365,2,33,32164,19,6,0,0,32224,0.280000000000000032
S845999,康和證券自營,0,0,1948,0,0,0,0,1948,0,0,2397,0,0,0,0,2397,0,0,1447,0,0,0,0,1447,0,0,8379,0,0,0,0,8379,0,0,1225,0,0,0,0,1225,0,0,1360,0,0,0,0,1360,0,0,1728,0,0,0,0,1728,0,0,1186,0,0,0,0,1186,0,0,2387,0,0,0,0,2387,0,0,917,0,0,0,0,917,0,0,625,0,0,0,0,625,60,0,2559,0,0,0,0,2619,0,0,3574,0,0,0,0,3574,60,0,29732,0,0,0,0,29792,0.26
S920999,凱基證券自營,0,0,3038,5,0,0,0,3043,4,0,9157,17,0,0,0,9178,0,0,9177,0,0,0,0,9177,0,0,470,10,0,0,0,480,0,40,390,10,0,0,0,440,0,0,519,7,0,0,0,526,0,0,184,9,0,0,37,230,0,65,13,6,0,0,35,119,0,21,641,15,0,0,10,687,0,20,0,16,0,0,0,36,0,40,0,30,0,0,0,70,0,39,0,26,0,0,2,67,0,33,0,5,0,0,10,48,4,258,23589,156,0,0,94,24101,0.21
S572999,大華證券自營,0,0,1953,43,0,0,2,1998,0,40,1638,52,0,0,0,1730,0,0,1222,42,0,0,20,1284,0,0,2092,24,0,0,0,2116,0,40,1758,145,0,0,58,2001,0,0,975,8,0,0,20,1003,0,8,2560,11,0,0,4,2583,0,80,2565,22,0,0,56,2723,0,44,1518,1,0,0,30,1593,0,58,666,23,0,0,30,777,0,0,860,0,0,0,32,892,0,40,2227,16,0,0,10,2293,0,0,2122,16,0,0,30,2168,0,310,22156,403,0,0,292,23161,0.2
F013999,大華期貨自營,0,0,2234,0,0,0,0,2234,0,0,2220,0,0,0,0,2220,0,0,500,0,0,0,0,500,0,0,484,0,0,0,0,484,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,2342,0,0,0,0,2342,0,0,1412,0,0,0,0,1412,0,0,260,0,0,0,0,260,0,0,698,0,0,0,0,698,0,0,4468,0,0,0,0,4468,0,0,1598,0,0,0,0,1598,0,0,2936,0,0,0,0,2936,0,0,20153,0,0,0,0,20153,0.18
S653999,大眾證券自營,0,0,685,0,0,0,0,685,0,0,3090,0,0,0,0,3090,0,0,1227,0,0,0,0,1227,0,0,2666,0,0,0,0,2666,0,0,2073,0,0,0,0,2073,0,0,201,0,0,0,0,201,0,0,3350,0,0,0,0,3350,0,0,692,0,0,0,0,692,0,0,445,0,0,0,0,445,0,0,524,0,0,0,0,524,0,0,678,0,0,0,0,678,0,0,2885,0,0,0,0,2885,0,0,790,0,0,0,0,790,0,0,19306,0,0,0,0,19306,0.17
S616000,中國信託證券,0,0,1999,0,0,0,1,2000,0,3,2539,0,0,0,0,2542,0,1,1391,0,0,0,0,1392,0,6,2299,0,0,0,0,2305,0,0,1926,0,0,0,1,1927,0,1,1012,0,0,0,0,1013,0,1,1555,7,0,0,0,1563,0,0,850,0,0,0,0,850,0,0,1838,1,0,0,0,1839,0,0,569,0,0,0,0,569,0,0,1229,0,0,0,0,1229,0,0,1200,0,0,0,0,1200,0,0,552,0,0,0,0,552,0,12,18959,8,0,0,2,18981,0.17
F038999,大眾期貨自營,0,0,1016,0,0,0,0,1016,0,0,2403,0,0,0,0,2403,0,0,1151,0,0,0,0,1151,0,0,2755,0,0,0,0,2755,0,0,1525,0,0,0,0,1525,0,0,1324,0,0,0,0,1324,0,0,1025,0,0,0,0,1025,0,0,790,0,0,0,0,790,0,0,1029,0,0,0,0,1029,0,0,682,0,0,0,0,682,0,0,808,0,0,0,0,808,0,0,1093,0,0,0,0,1093,0,0,1684,0,0,0,0,1684,0,0,17285,0,0,0,0,17285,0.15
